1012 26300.912109
149.436996 176.000000 1.000000
8498.073242 3211.512695 0.500000
8079.528809 7308.247070 0.500000
3435.515137 6172.378418 0.500000
5628.579102 3868.984619 0.500000
3731.888184 4154.135254 0.500000
9260.089844 5122.836914 0.500000
1494.363770 4895.193359 0.500000
2509.794922 1174.874023 0.500000
1645.514526 3263.479492 0.500000
1165.587891 7999.481934 0.500000
5217.154297 6733.769043 0.500000
3042.602051 5137.414062 0.500000
5023.165527 7792.378418 0.500000
7808.013184 4259.820312 0.500000
4087.235596 7148.913086 0.500000
3608.311768 6485.178223 0.500000
774.054382 7606.670410 0.500000
937.476746 1610.333618 0.500000
8999.801758 2851.231934 0.500000
275.460815 3712.997803 0.500000
2463.609131 7775.421875 0.500000
8605.667969 2199.992676 0.500000
3836.379395 6109.169922 0.500000
6769.024902 4298.322754 0.500000
4462.281250 7468.133789 0.500000
7302.670898 2339.603760 0.500000
6490.866211 2892.065430 0.500000
1738.702881 3573.627686 0.500000
8387.925781 2704.270020 0.500000
9031.279297 2862.852783 0.500000
9663.850586 4750.029785 0.500000
8683.431641 3569.314453 0.500000
4069.270264 6540.953613 0.500000
9207.725586 3909.325928 0.500000
9601.533203 7375.415527 0.500000
8907.862305 5165.358398 0.500000
6286.521484 2313.990479 0.500000
3157.156494 3628.506104 0.500000
1954.843384 2275.778809 0.500000
4250.377930 1431.288086 0.500000
1109.067627 1086.516724 0.500000
7698.910156 7887.232910 0.500000
6936.664551 3122.851562 0.500000
3770.778076 2417.750000 0.500000
5934.544434 2023.748901 0.500000
7414.918945 1081.761230 0.500000
1719.932617 5988.965820 0.500000
9600.045898 504.031738 0.500000
1841.329468 1989.293945 0.500000
7419.990723 5287.983887 0.500000
6485.647949 6105.100098 0.500000
1427.191162 4208.063965 0.500000
775.569458 1708.868286 0.500000
8292.444336 4628.683105 0.500000
595.434387 1337.832397 0.500000
2123.227783 7136.448730 0.500000
10078.214844 516.135986 0.500000
799.855408 120.959946 0.500000
6028.821289 1516.548340 0.500000
4001.633301 7319.171387 0.500000
3674.851562 4463.681641 0.500000
4612.045410 5532.108398 0.500000
5396.366699 6085.767090 0.500000
10022.367188 4657.611328 0.500000
7571.927246 5068.966797 0.500000
7571.862305 6687.249023 0.500000
8829.754883 6669.817383 0.500000
7531.843750 7242.661133 0.500000
6760.568359 4026.287354 0.500000
8396.054688 7128.474121 0.500000
6588.395996 2052.509277 0.500000
2371.945557 5636.909668 0.500000
3370.893311 1920.909424 0.500000
6421.623047 1859.358765 0.500000
5194.632324 7782.008301 0.500000
5549.747070 5784.606934 0.500000
4801.604980 4780.916016 0.500000
4595.420410 2751.900879 0.500000
4430.958496 113.593163 0.500000
6074.830078 6687.287109 0.500000
6846.744629 3912.966064 0.500000
3132.070801 5727.731445 0.500000
6308.841797 411.645294 0.500000
7052.347168 5425.577148 0.500000
3554.750488 1550.209961 0.500000
6362.328613 5875.376465 0.500000
7498.030273 1689.525269 0.500000
6939.787598 5260.792480 0.500000
5412.738281 782.137573 0.500000
8870.986328 5522.109375 0.500000
1190.319214 2951.879150 0.500000
6021.997070 5367.128418 0.500000
7852.221680 2371.964844 0.500000
1977.078857 7884.156738 0.500000
8369.780273 2713.314209 0.500000
4450.846191 7680.404785 0.500000
7742.984375 5624.677246 0.500000
6950.106445 3127.948975 0.500000
9529.337891 7344.881836 0.500000
2115.403809 6373.762207 0.500000
3055.202393 7255.065430 0.500000
8836.849609 4033.299805 0.500000
1706.446411 2257.376465 0.500000
5011.293457 3760.204102 0.500000
5047.170898 2393.142090 0.500000
6933.991699 5850.198242 0.500000
6121.223633 3987.979980 0.500000
7335.751953 1499.403564 0.500000
5072.716309 1048.369629 0.500000
3688.358398 2660.471436 0.500000
9182.788086 5014.996094 0.500000
8276.908203 4016.909424 0.500000
4028.070068 5305.942871 0.500000
