1046 20308.617188
189.800156 107.000000 1.000000
8484.341797 3218.422852 0.500000
8067.482910 7369.470215 0.500000
3442.166016 6218.542480 0.500000
5626.400391 3884.611328 0.500000
3737.345947 4173.542480 0.500000
9243.291016 5155.086426 0.500000
1508.829834 4924.425293 0.500000
2520.172852 1154.783325 0.500000
1659.371948 3271.078613 0.500000
1181.377563 8069.869141 0.500000
5216.632324 6787.375488 0.500000
3050.834961 5169.856934 0.500000
5023.424316 7860.019531 0.500000
7797.060547 4280.628418 0.500000
4091.262695 7208.023926 0.500000
3614.267090 6535.489258 0.500000
791.420410 7671.849609 0.500000
954.184814 1596.016113 0.500000
8984.050781 2853.365723 0.500000
294.834198 3726.556396 0.500000
2474.172852 7842.838867 0.500000
8591.503906 2193.492676 0.500000
3841.416504 6154.496094 0.500000
6762.254883 4319.641602 0.500000
4464.798340 7531.476562 0.500000
7293.752441 2334.954590 0.500000
6485.215820 2894.740479 0.500000
1752.185181 3585.338623 0.500000
8374.638672 2704.455566 0.500000
9015.402344 2865.140381 0.500000
9645.425781 4777.337402 0.500000
8668.954102 3580.968262 0.500000
4073.369629 6592.004395 0.500000
9191.137695 3925.487549 0.500000
9583.359375 7437.528809 0.500000
8892.481445 5198.171875 0.500000
6281.694336 2309.001709 0.500000
3164.928223 3640.944580 0.500000
1967.455444 2270.283447 0.500000
4253.748047 1414.596924 0.500000
1125.084839 1065.254639 0.500000
7688.396484 7956.131836 0.500000
6929.219727 3128.586426 0.500000
3776.079102 2414.136963 0.500000
5931.134277 2014.912231 0.500000
7405.548828 1060.436035 0.500000
1733.490479 6032.698242 0.500000
9581.878906 475.047302 0.500000
1854.398560 1980.000488 0.500000
7410.600098 5322.423340 0.500000
6480.019043 6150.372559 0.500000
1441.927490 4228.186035 0.500000
792.929382 1695.857056 0.500000
8279.541016 4654.381836 0.500000
613.519531 1319.902222 0.500000
2135.161865 7195.394043 0.500000
10058.122070 487.312042 0.500000
817.117554 86.896912 0.500000
6025.031250 1500.987427 0.500000
4006.005127 7380.539062 0.500000
3680.538818 4487.192383 0.500000
4613.959961 5569.784180 0.500000
5395.123047 6130.782715 0.500000
10002.499023 4683.693359 0.500000
7561.924805 5100.502441 0.500000
7561.860352 6740.239258 0.500000
8814.688477 6722.576172 0.500000
7522.002930 7303.014648 0.500000
6753.832520 4043.999512 0.500000
8382.734375 7187.313477 0.500000
6582.353516 2044.054077 0.500000
2382.878418 5675.975098 0.500000
3377.804443 1910.709351 0.500000
6416.251953 1848.342773 0.500000
5194.201172 7849.512207 0.500000
5547.885742 5825.630371 0.500000
4802.755859 4808.632812 0.500000
4597.401855 2752.717773 0.500000
4433.601562 79.432465 0.500000
6070.854980 6740.277344 0.500000
6839.662109 3929.176025 0.500000
3139.943359 5768.000488 0.500000
6303.924805 381.436035 0.500000
7044.436523 5461.840332 0.500000
3560.921387 1535.095337 0.500000
6357.196289 5917.603027 0.500000
7488.325684 1676.257568 0.500000
6932.330078 5294.871094 0.500000
5411.429199 756.840149 0.500000
8855.753906 5559.652344 0.500000
1206.009399 2955.347168 0.500000
6018.234863 5402.616699 0.500000
7841.090820 2367.744629 0.500000
1989.601440 7953.014648 0.500000
8356.565430 2713.619629 0.500000
4453.409668 7746.561523 0.500000
7732.293457 5663.580078 0.500000
6942.607422 3133.751465 0.500000
9511.455078 7406.590332 0.500000
2127.369629 6422.596191 0.500000
3063.384521 7315.583496 0.500000
8821.754883 4051.104980 0.500000
1720.058472 2251.637207 0.500000
5011.600098 3774.388672 0.500000
5047.333008 2389.202637 0.500000
6926.557617 5892.090820 0.500000
6117.061523 4005.184326 0.500000
7326.700195 1483.615356 0.500000
5072.775879 1026.601685 0.500000
3693.991455 2660.076172 0.500000
9166.300781 5045.815918 0.500000
8264.067383 4034.497070 0.500000
4032.335449 5340.620117 0.500000
2680.129395 1267.120605 0.500000
1171.786621 5247.339355 0.500000
2973.328613 2712.871094 0.500000
4361.852539 7552.819824 0.500000
2745.584473 5339.941895 0.500000
4961.954590 1315.608765 0.500000
6342.292480 4208.160645 0.500000
5662.253906 3473.750000 0.500000
4032.946777 2014.224121 0.500000
7377.705078 5178.699707 0.500000
3472.322998 7256.420898 0.500000
4196.699219 96.903595 0.500000
7827.300781 2410.266602 0.500000
8737.438477 5839.571289 0.500000
4579.303711 7969.898438 0.500000
2200.608154 3856.499023 0.500000
1032.705078 852.463379 0.500000
3108.064697 5326.887207 0.500000
1409.972168 466.853973 0.500000
4665.281250 6319.968750 0.500000
4513.952148 1009.368042 0.500000
5872.684082 4305.941406 0.500000
3708.711914 2495.390869 0.500000
4853.692383 1416.307617 0.500000
5344.589844 5020.376465 0.500000
2428.003906 6712.711426 0.500000
1081.811401 7466.415527 0.500000
4905.103516 1863.064575 0.500000
2998.882324 2919.974365 0.500000
3532.314453 6593.142090 0.500000
457.636414 2119.687988 0.500000
6345.276367 6763.232422 0.500000
2301.722656 1642.615234 0.500000
1190.602783 5467.207031 0.500000
7278.869141 1661.327637 0.500000
3246.808594 3536.418701 0.500000
3946.673096 4329.588867 0.500000
5640.657227 170.499237 0.500000
3910.915283 2504.399170 0.500000
2695.493896 5267.013184 0.500000
9277.198242 5558.540527 0.500000
7063.053223 2556.902588 0.500000
154.858932 4330.502441 0.500000
6270.213867 5211.107422 0.500000
4096.059570 2959.788574 0.500000
8101.998047 5492.943848 0.500000
423.339752 563.573792 0.500000
1968.287231 5020.640625 0.500000
5764.806641 62.531975 0.500000
3142.770508 2152.602051 0.500000
8657.759766 1507.318726 0.500000
6758.427734 7107.550781 0.500000
3222.559814 7155.739258 0.500000
1663.966064 4093.774658 0.500000
6841.440430 7309.464355 0.500000
4034.273926 5719.685547 0.500000
5560.768555 5983.648926 0.500000
2422.638672 7489.270508 0.500000
9415.285156 4021.115234 0.500000
9472.291992 6470.656738 0.500000
6031.073730 5327.537598 0.500000
9439.566406 2657.944824 0.500000
5977.746582 5171.611816 0.500000
7837.637695 6432.653809 0.500000
6129.742188 3829.777832 0.500000
8038.029785 6995.811035 0.500000
6729.209961 3363.672852 0.500000
6055.055664 5234.452148 0.500000
1576.123779 4700.147461 0.500000
7093.629395 4211.659180 0.500000
5237.767578 957.499756 0.500000
5190.836914 442.709930 0.500000
3935.790771 5170.692383 0.500000
1532.588867 3368.449707 0.500000
4156.545410 193.589233 0.500000
5823.620117 6577.399902 0.500000
4555.712891 3884.325439 0.500000
681.263367 649.439941 0.500000
6058.857422 1839.884033 0.500000
6388.003418 7464.689453 0.500000
4716.571777 3572.958496 0.500000
9607.422852 7668.509277 0.500000
7753.684082 2730.393066 0.500000
2283.017334 3885.848633 0.500000
4749.686035 7150.150391 0.500000
1929.833618 3729.262939 0.500000
7748.031738 7314.371582 0.500000
7699.751465 7785.625488 0.500000
4112.732422 4553.795898 0.500000
6307.357910 1586.497070 0.500000
3690.621582 5300.886719 0.500000
2198.697266 4921.000977 0.500000
1191.052124 3051.285645 0.500000
6550.532715 4809.852539 0.500000
6049.479004 525.855469 0.500000
5722.731934 2000.572266 0.500000
3528.224854 126.314316 0.500000
6100.265625 6238.253906 0.500000
9413.812500 1442.343750 0.500000
4964.888184 6435.230957 0.500000
9737.422852 1300.074463 0.500000
8903.885742 2990.874268 0.500000
7560.211914 3871.840332 0.500000
9547.293945 1035.164673 0.500000
6317.620605 5820.797363 0.500000
1932.837891 2318.827148 0.500000
2121.665527 5078.154297 0.500000
1359.717651 1879.603760 0.500000
233.357422 1344.115967 0.500000
4706.541992 5258.074707 0.500000
1101.977051 4982.669434 0.500000
4026.533203 4037.358398 0.500000
3022.334473 2012.151489 0.500000
5748.165039 1583.941528 0.500000
4406.943359 6585.077148 0.500000
3653.455566 8062.208008 0.500000
5322.634766 1666.098633 0.500000
7082.414062 2682.619385 0.500000
6552.446289 2793.895996 0.500000
7750.563965 6500.224609 0.500000
6904.023926 7309.602051 0.500000
7608.549805 2444.414062 0.500000
1982.737793 4797.162598 0.500000
1107.939941 1315.632690 0.500000
1454.589600 4781.176758 0.500000
8977.266602 7641.150391 0.500000
9333.403320 3817.626465 0.500000
5956.323730 1408.418213 0.500000
4851.395996 6598.280762 0.500000
5352.332520 4726.057129 0.500000
2343.922119 2173.479248 0.500000
5468.687500 187.120926 0.500000
3565.215820 1704.356445 0.500000
4098.818848 2518.525879 0.500000
6536.690918 3611.294434 0.500000
7116.354980 2724.958740 0.500000
7675.747559 2124.846191 0.500000
256.435394 6835.610840 0.500000
6093.634766 2633.357178 0.500000
5355.404297 6858.700684 0.500000
2653.386475 641.216187 0.500000
8979.857422 4960.072754 0.500000
8296.051758 7749.128906 0.500000
3529.403809 2942.036377 0.500000
333.178894 94.236526 0.500000
3019.420898 5737.306152 0.500000
5161.485352 3804.953857 0.500000
2001.908813 3934.778076 0.500000
528.204895 730.898254 0.500000
7197.919922 4958.710449 0.500000
9696.320312 7014.939453 0.500000
4847.329102 6130.686523 0.500000
164.597916 4696.865723 0.500000
7521.163086 7457.140625 0.500000
7959.666016 7648.642578 0.500000
2839.796875 1974.049316 0.500000
1043.920898 6046.010742 0.500000
1825.341309 7578.653809 0.500000
1060.282959 7926.896484 0.500000
3505.241943 5610.519043 0.500000
4432.451172 5302.080078 0.500000
6090.934082 1096.557373 0.500000
3869.277100 1152.572632 0.500000
1237.796265 7120.982422 0.500000
2200.410889 5416.812500 0.500000
3213.711914 7622.857422 0.500000
1313.955566 360.575317 0.500000
4081.989014 1751.312866 0.500000
1694.148438 2527.180908 0.500000
149.168549 5268.037109 0.500000
4707.553711 729.081787 0.500000
7942.590332 5548.031738 0.500000
8754.038086 556.458435 0.500000
5357.848145 1474.992188 0.500000
1188.524780 3167.168945 0.500000
6469.545410 5673.725586 0.500000
4155.032227 6653.467285 0.500000
9296.770508 1832.849243 0.500000
3831.370117 3118.148438 0.500000
8162.534180 3161.763428 0.500000
